Парковка №0301 (30);2;город Москва, Саввинская набережная, дом 21А, строение 1;37.563754;55.733941
Парковка №0301 (31);12;город Москва, Большой Саввинский переулок, дом 12, строение 7;37.5627875;55.733485
Парковка №0301 (32);4;город Москва, Большой Саввинский переулок, дом 12, строение 8;37.561255;55.732795
Парковка №0301 (33);6;город Москва, Саввинская набережная, дом 23, строение 1;37.560606;55.7324625
Парковка №0301 (34);3;город Москва, Большой Саввинский переулок, дом 12, строение 11;37.559882;55.732179
Парковка №0301 (35);3;город Москва, Гоголевский бульвар, дом 11;37.599577499999995;55.7460145
Парковка №0301 (36);4;город Москва, Гоголевский бульвар, дом 14, строение 1;37.600374;55.748043499999994
Парковка №0301 (37);2;город Москва, Гоголевский бульвар, дом 9;37.599742500000005;55.745741499999994
Парковка №0301 (38);2;город Москва, Нащокинский переулок, дом 12, строение 1;37.599357499999996;55.74641
Парковка №0301 (39);2;город Москва, Гоголевский бульвар, дом 17, строение 1;37.5992585;55.7466195
Парковка №0301 (40);5;город Москва, Смоленская-Сенная площадь, дом 23/25;37.58314;55.7442665
Парковка №0301 (41);3;город Москва, улица Остоженка, дом 53/2, строение 1;37.594851500000004;55.735906
Парковка №0301 (42);9;город Москва, улица Остоженка, дом 53А;37.595342;55.736606
Парковка №0301 (43);32;город Москва, Зубовская площадь, дом 3, строение 1;37.586058;55.738225
Парковка №0301 (44);4;город Москва, Зубовская площадь, дом 3, строение 1;37.585892;55.7380855
Парковка №0301 (203);6;город Москва, улица Ленивка, дом 3, строение 3;37.608622499999996;55.7469625
Парковка №0301 (202);3;город Москва, Лебяжий переулок, дом 4, строение 4;37.6101495;55.748373
Парковка №0301 (201);7;город Москва, Кремлёвская набережная, дом 1/9, строение 10;37.609643000000005;55.747494
Парковка №0301 (200);3;город Москва, Кремлёвская набережная, дом 1, строение 2;37.6091245;55.7470455
Парковка №0301 (244);4;город Москва, Большой Могильцевский переулок, дом 4-6;37.59023465;55.7440136
Парковка №0301 (236);15;город Москва, Курсовой переулок, дом 1;37.6058004;55.74246275
Парковка №0301 (235);3;город Москва, Курсовой переулок, дом 4;37.605823;55.741668000000004
Парковка №0301 (234);2;город Москва, Молочный переулок, дом 11;37.5997955;55.73886685
Парковка №0301 (233);5;город Москва, Молочный переулок, дом 4;37.601496;55.7392315
Парковка №0301 (232);7;город Москва, Молочный переулок, дом 1;37.6023725;55.7391835
Парковка №0301 (45);4;город Москва, улица Остоженка, дом 5;37.6019175;55.7434135
Парковка №0301 (46);10;город Москва, 1-й Обыденский переулок, дом 5;37.6026655;55.743072999999995
Парковка №0301 (47);2;город Москва, 1-й Обыденский переулок, дом 3;37.603334;55.7427675
Парковка №0301 (231);8;город Москва, 2-й Обыденский переулок, дом 8/8;37.60263481608015;55.74247943010916
Парковка №0301 (48);7;город Москва, 3-й Обыденский переулок, дом 2;37.6043755;55.742785
Парковка №0301 (230);2;город Москва, 2-й Обыденский переулок, дом 12А;37.6018515;55.7428175
Парковка №0301 (229);2;город Москва, 2-й Обыденский переулок, дом 12А;37.601505;55.742965999999996
Парковка №0301 (228);15;город Москва, улица Остоженка, дом 7, строение 1;37.601952499999996;55.742673999999994
Парковка №0301 (227);2;город Москва, 2-й Обыденский переулок, дом 6/3, строение 1;37.6034975;55.742145
Парковка №0301 (226);5;город Москва, 3-й Обыденский переулок, дом 1, строение 1;37.6041305;55.741936499999994
Парковка №0301 (225);11;город Москва, Курсовой переулок, дом 4;37.6051857;55.74162185
Парковка №0301 (224);1;город Москва, Глазовский переулок, дом 1/1;37.588423;55.7439741
Парковка №0301 (223);4;город Москва, Большой Могильцевский переулок, дом 7, строение 2;37.58882305;55.7438223
Парковка №0301 (222);6;город Москва, Большой Могильцевский переулок, дом 7, строение 1;37.5896775;55.7437365
Парковка №0301 (221);1;город Москва, Большой Могильцевский переулок, дом 7, строение 1;37.5902485;55.74366
Парковка №0301 (218);1;город Москва, переулок Сивцев Вражек, дом 37/16;37.58854685;55.7467471
Парковка №0301 (217);5;город Москва, Плотников переулок, дом 12;37.58867295772257;55.74624154143286
Парковка №0301 (216);3;город Москва, Плотников переулок, дом 10;37.588745285768525;55.74569376864107
Парковка №0301 (215);3;город Москва, Плотников переулок, дом 10;37.588700349999996;55.74532155
Парковка №0301 (214);2;город Москва, Плотников переулок, дом 6/8;37.58865745;55.74502985
Парковка №0301 (213);4;город Москва, Плотников переулок, дом 6/8;37.5886015;55.7447098
Парковка №0301 (212);4;город Москва, Плотников переулок, дом 4/5;37.5885824;55.74429645
Парковка №0301 (211);6;город Москва, Малый Могильцевский переулок, дом 3;37.5895503;55.7443512
Парковка №0301 (210);5;город Москва, Бутиковский переулок, дом 5;37.60251785;55.7386517
Парковка №0301 (209);9;город Москва, Бутиковский переулок, дом 16, строение 1;37.6015488;55.737879500000005
Парковка №0301 (208);9;город Москва, Пречистенская набережная, дом 3, строение 1;37.60039418935775;55.7362019106806
Парковка №0301 (207);4;город Москва, Пречистенская набережная, дом 17;37.60595975;55.739548150000005
Парковка №0301 (206);2;город Москва, Пречистенская набережная, дом 15, строение 2;37.6057774;55.73910875
Парковка №0301 (51);7;город Москва, улица Тимура Фрунзе, дом 34, строение 2;37.58451049999999;55.7374525
Парковка №0301 (52);5;город Москва, улица Тимура Фрунзе, дом 15/1;37.5852425;55.736879
Парковка №0301 (53);7;город Москва, улица Тимура Фрунзе, дом 15/1;37.584405000000004;55.737402
Парковка №0301 (54);14;город Москва, улица Тимура Фрунзе, дом 11, строение 19;37.58604007005627;55.73637701390813
Парковка №0301 (55);10;город Москва, улица Тимура Фрунзе, дом 11, строение 19;37.5871195;55.7357025
Парковка №0301 (56);9;город Москва, улица Тимура Фрунзе, дом 26;37.587185500000004;55.7357935
Парковка №0301 (57);16;город Москва, улица Тимура Фрунзе, дом 11, строение 13;37.588425865587396;55.734862416874286
